,id,address,city,lat_long,name,url,score,text_description
10,10,"
52 Rue Maréchal Joffre, 76600 Le Havre, France
",Havre,"49.49899770,0.12090620",Le Doux Refuge - Spacieux - 6 pers,https://www.booking.com/hotel/fr/le-doux-refuge-spacieux-6-pers.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC0-XAnwbAAgHSAiQyYTM4NDk1YS03MjliLTRmYzYtYmJkNC03OTg5YjlkYmFjODXYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=51770ee9e660006f&srepoch=1676686037&from_beach_sr=1&from=searchresults,7.9,"[""Le Doux Refuge - Spacieux - 6 pers is situated in Le Havre, 2.3 km from Le Havre Beach, 1 km from Saint-Michel's Church, and 1.6 km from Perret Model Appartment. This apartment is 24 km from Norman Museum of Ethnography and Popular Arts and 24 km from Honfleur's Old Harbour."", 'With free WiFi, this 3-bedroom apartment features a flat-screen TV, a washing machine and a kitchen with a fridge and dishwasher. Towels and bed linen are available in the apartment.', 'Le Volcan is 1.9 km from the apartment, while Eglise St-Joseph is 2.5 km from the property. The nearest airport is Deauville - Normandie Airport, 37 km from Le Doux Refuge - Spacieux - 6 pers. ']"
11,11,"
59 Rue Victor Hugo, Perret, 76600 Le Havre, France
",Havre,"49.49188310,0.10412850",L'indigo - Hypercentre - 4 personnes,https://www.booking.com/hotel/fr/l-39-indigo-hypercentre-4-personnes.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC1uXAnwbAAgHSAiQ3NDViMmU2MS05NzIyLTQ4ZWItYjFjZS1lZDNjODJjNmVhNGPYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=00a40eea3f8e01e8&srepoch=1676686039&from_beach_sr=1&from=searchresults,8.1,"[""Situated in Le Havre, less than 1 km from Le Havre Beach and a 4-minute walk from Perret Model Appartment, L'indigo - Hypercentre - 4 personnes provides accommodation with amenities such as free WiFi and a flat-screen TV. This apartment is 25 km from Norman Museum of Ethnography and Popular Arts and 25 km from Honfleur's Old Harbour."", 'The apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 1 bathroom with a shower and free toiletries.', ""Popular points of interest near the apartment include Le Volcan, Eglise St-Joseph and Saint-Michel's Church. The nearest airport is Deauville - Normandie Airport, 38 km from L'indigo - Hypercentre - 4 personnes. ""]"
12,12,"
4 Rue Alain Blanchard, 76000 Rouen, France
",Rouen,"49.44654420,1.09281090",le 4B - Le Vintage,https://www.booking.com/hotel/fr/le-4b.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDHNlYXJjaF9yb3VlbkgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC2OXAnwbAAgHSAiQxMWNhN2RiYi02ZTNmLTQ4OWItYmZiYi1iZDZhZDc3YjFmMTHYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=93160eec1584008f&srepoch=1676686042&from_sustainable_property_sr=1&from=searchresults,9.3,"['Set in Rouen, this apartment is 700 m from Notre-Dame Cathedral of Rouen. The apartment is a 5-minute walk from Rouen Train Station and 200 m from the Rouen Museum of Fine Arts.', 'The apartment has a fully equipped kitchenette with a washing machine and a Nespresso coffee machine. There is also a flat-screen TV and free WiFi. Bed linen and towels are provided at le 4B - Le Vintage and other facilities include an ironing service, available for an extra fee.', 'Rouen Hospital is 1.2 km from le 4B - Le Vintage, while Rouen Kindarena Sports Hall is 2.1 km away. The nearest airport is Paris Beauvais-Tille Airport, 74 km from le 4B - Le Vintage. ']"
13,13,"
18 rue Louis Aubert, 76000 Rouen, France
",Rouen,"49.44777500,1.08356500",Saint Gervais,https://www.booking.com/hotel/fr/saint-gervais-rouen.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDHNlYXJjaF9yb3VlbkgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC2-XAnwbAAgHSAiRlZTkyYzE5MC05MjdiLTQzMWQtYTU0MC1lMDkyMThhZDU0ZmbYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=a8c80eedb846016f&srepoch=1676686044&from=searchresults,,"['Set 1.1 km from Gare de Rouen Rive Droite and 1.4 km from Notre-Dame Cathedral of Rouen in Rouen, Saint Gervais offers accommodation with a kitchenette. Featuring a terrace, the apartment is in an area where guests can engage in activities such as hiking and billiards.', 'Towels and bed linen are featured in the apartment.', 'Speaking English and French, staff at the 24-hour front desk can help you plan your stay.', 'Rouen Kindarena Sports Hall is 2.8 km from the apartment, while Voltaire Station, Rouen is 3.9 km away. The nearest airport is Beauvais–Tillé Airport, 85 km from Saint Gervais. ']"
14,14,"
62 Rue de Ponthieu, 8th arr., 75008 Paris, France
",Paris,"48.87212170,2.30539450",Apartment in the Heart of The Champs Elysées with Balcony,https://www.booking.com/hotel/fr/apartment-in-the-heart-of-the-champs-elysees-with-balcony.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDHNlYXJjaF9wYXJpc0gJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC3eXAnwbAAgHSAiRmY2E5ZWE5ZS05NTkwLTQ3MDMtYTVlYy0xNTgxYjc4Y2E3MGHYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ac0f0eee8bbf014c&srepoch=1676686046&from=searchresults,,"[""Located in Paris, 1.9 km from Gare Saint-Lazare, less than 1 km from Arc de Triomphe and 1.8 km from Musée de l'Orangerie, Apartment in the Heart of The Champs Elysées with Balcony provides accommodation with a balcony and free WiFi. This apartment is 2.7 km from Eiffel Tower and 2.8 km from Palais des Congrès de Paris."", 'The apartment features 2 bedrooms, a living room with a flat-screen TV, an equipped kitchen, and 1 bathroom with a shower and a bath.', 'Opéra Garnier is 2.4 km from the apartment, while Tuileries Garden is 2.7 km away. The nearest airport is Paris - Orly Airport, 18 km from Apartment in the Heart of The Champs Elysées with Balcony. ']"
15,15,"
Bâtiment C, 17c Avenue Jacques Chastellain, 76100 Rouen, France
",Rouen,"49.43365941,1.09861642",Appart'HomeCity - Rouen Vue Cathédrale,https://www.booking.com/hotel/fr/lacroix-370.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCDHNlYXJjaF9yb3VlbkgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC3-XAnwbAAgHSAiRjZGZhM2Q1NC1mNTU0LTRlZjgtOTkzZS0wNjJhNzBkYjA1NWTYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=c3700eef8c2b0061&srepoch=1676686048&from=searchresults,8.7,"[""You're eligible for a Genius discount at Appart'HomeCity - Rouen Vue Cathédrale! To save at this property, all you have to do is "", '.', ""Set in Rouen and only 1.2 km from Notre-Dame Cathedral of Rouen, Appart'HomeCity - Rouen Vue Cathédrale offers accommodation with river views, free WiFi and free private parking. Housed in a building dating from 1979, this apartment is 3.4 km from Voltaire Station, Rouen and 3.5 km from Gare de Rouen Rive Droite."", 'The apartment with a balcony and city views features 2 bedrooms, a living room, a flat-screen TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. Towels and bed linen are featured in the apartment.', ""Rouen Kindarena Sports Hall is 3.8 km from the apartment, while Hotel de ville de Soteville Station, Rouen is 4.3 km away. The nearest airport is Beauvais–Tillé Airport, 84 km from Appart'HomeCity - Rouen Vue Cathédrale. ""]"
16,16,"
appt 2, 1er étage 6 Chemin des Remparts, 17000 La Rochelle, France
",Rochelle,"46.15584670,-1.15838620",Vue Superbe sur Tour de la Lanterne T2 + Terrasse,https://www.booking.com/hotel/fr/vue-superbe-sur-tour-de-la-lanterne-t2-terrasse.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC4uXAnwbAAgHSAiQxNzA2MDQ2MS1jMzI4LTQ5MjYtYjIwMS0yM2Y3YWRhMjNkYzLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=75&sr_order=popularity&srpvid=04d50ef19d830186&srepoch=1676686051&from_sustainable_property_sr=1&from=searchresults,9.8,"['Offering free WiFi and garden views, Vue Superbe sur Tour de la Lanterne T2 + Terrasse is an accommodation situated right in the heart of La Rochelle, just 200 m from Concurrence and 1.5 km from La Rochelle Train Station. This apartment is 5.9 km from The Minimes Marina and 13 km from Mytiliculture Museum.', 'The apartment with a terrace and city views has 1 bedroom, a living room, a flat-screen TV, an equipped kitchen with a fridge and an oven, and 1 bathroom with a shower. For added convenience, the property can provide towels and bed linen for an extra charge.', ""Popular points of interest near the apartment include L'Espace Encan, Parc Expo de La Rochelle and La Rochelle Grosse Horloge. The nearest airport is La Rochelle - Ile de Re Airport, 4 km from Vue Superbe sur Tour de la Lanterne T2 + Terrasse. ""]"
17,17,"
8 RUE REAUMUR, 17000 La Rochelle, France
",Rochelle,"46.15971400,-1.15624000",LE GALET,https://www.booking.com/hotel/fr/le-galet-la-rochelle.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC4uXAnwbAAgHSAiQxNzA2MDQ2MS1jMzI4LTQ5MjYtYjIwMS0yM2Y3YWRhMjNkYzLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=74&sr_order=popularity&srpvid=04d50ef19d830186&srepoch=1676686051&from=searchresults,8.8,"['LE GALET is attractively located in the centre of La Rochelle and has a terrace. The accommodation is 700 m from the Concurrence and features free WiFi throughout the property.', 'The 1-bedroom apartment features a living room with a flat-screen TV, a fully equipped kitchen and 1 bathroom.', ""Popular points of interest near the apartment include La Rochelle Train Station, L'Espace Encan and Parc Expo de La Rochelle. The nearest airport is La Rochelle - Ile de Re Airport, 4 km from LE GALET. ""]"
18,18,"
4 ALLEE DU BOUT DEHORS BAT D1 - Etage 1 - APT D112, 17000 La Rochelle, France
",Rochelle,"46.14132400,-1.16397500","Appartement La Rochelle, 2 pièces, 4 personnes - FR-1-246-594",https://www.booking.com/hotel/fr/appartement-la-rochelle-2-pieces-4-personnes-fr-1-246-594.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC4uXAnwbAAgHSAiQxNzA2MDQ2MS1jMzI4LTQ5MjYtYjIwMS0yM2Y3YWRhMjNkYzLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=73&sr_order=popularity&srpvid=04d50ef19d830186&srepoch=1676686051&from=searchresults,8.0,"[""Located 1.8 km from L'Espace Encan, 2.5 km from La Rochelle Train Station and 3.1 km from Parc Expo de La Rochelle, Appartement La Rochelle, 2 pièces, 4 personnes - FR-1-246-594 provides accommodation set in La Rochelle. With free private parking, the property is 600 m from Minimes and 1 km from Plage Du Roux."", 'The apartment features 1 bedroom, a TV, an equipped kitchen, and 1 bathroom with a shower.', 'Popular points of interest near the apartment include The Minimes Marina, Lighthouse at the End of the World and La Rochelle University. The nearest airport is La Rochelle - Ile de Re Airport, 9 km from Appartement La Rochelle, 2 pièces, 4 personnes - FR-1-246-594. ']"
19,19,"
14, quai de Marans, 17000 La Rochelle, France
",Rochelle,"46.15576943,-1.14639223",Résidence Pierre & Vacances Centre,https://www.booking.com/hotel/fr/pierre-vacances-centre.en-gb.html?aid=304142&label=gen173bo-1DCAQoggJCEnNlYXJjaF9sYSByb2NoZWxsZUgJWANoTYgBAZgBCbgBCsgBBdgBA-gBAfgBA4gCAZgCAqgCA7gC4uXAnwbAAgHSAiQxNzA2MDQ2MS1jMzI4LTQ5MjYtYjIwMS0yM2Y3YWRhMjNkYzLYAgTgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=72&sr_order=popularity&srpvid=04d50ef19d830186&srepoch=1676686051&from=searchresults,7.3,"['Located in La Rochelle, this Pierre & Vacances residence is a 5-minute walk from the Old Harbour and 300 m from the TGV Train Station. It has a heated indoor swimming pool and a terrace.', 'The Pierre & Vacances Centre offers studio apartments with a lounge area and a flat-screen TV. Each studio has a kitchenette equipped with a dishwasher, microwave and an electric coffee-maker.', 'The residence is serviced by a lift and facilities are available for guests with reduced mobility.', 'The Residence Pierre & Vacances Centre is an ideal base for discovering La Rochelle and guests can enjoy a boat trip to the Île de Ré and Fort Boyard. The beach is a 15-minute walk from the hotel. Subject to availability, paid parking is available upon reservation and for an extra charge. ']"
